unidad_academica|nro_inscripcion|titulo|carrera|legajo|plan|version|fecha_egreso|colacion|juramento|nro_expediente|prom_general|prom_sin_aplazos|nro_regis_dipl_fac|nro_regis_dipl_uni|resol_rectorado|duracion_carrera|observaciones|estado|nro_disp_decano|fecha_disp_decano|fecha_ini_tramite|fecha_ingr_conacad|fecha_apro_conacad|fecha_firma_autor|fecha_eleva_consup|fecha_apro_consup|tipo_copia
FCEQN|FCEQN-6464|00016|106|IA00113|2008|7|10/11/2019|28|2|01-3572/2019|6.2|7.15||||138||R|||10/28/2019||||||1
FCEQN|FCEQN-8612|00016|106|IA00234|2008|7|10/18/2019|28|2|01-3573/2019|7.30434782608696|7.85365853658537||||106||R|||10/28/2019||||||1
FCEQN|FCEQN-8376|00016|106|IA00247|2008|7|10/11/2019|28|2|01-3574/2019|6.01818181818182|7.125||||106||R|||10/30/2019||||||1
FCEQN|FCEQN-6137|00005|104|FA03770|2007|10|10/25/2019|28|1|01-3575/2019|5.59375|7.28205128205128||||142||R|||10/30/2019||||||1
FCEQN|FCEQN-2428|00008|143|PB01017|2000|14|10/02/2019|28|2|01-3576/2019|5.21276595744681|7.14814814814815||||202||R|||10/31/2019||||||1
FCEQN|FCEQN-4242|00005|104|FA03815|2007|10|10/25/2019|28|2|01-3577/2019|7.15384615384615|7.26315789473684||||127||R|||11/01/2019||||||1
FCEQN|FCEQN-9158|00003|101|IQ01695|2003|16|11/01/2019|28|3|01-3578/2019|6.98|7.8||||90||R|||11/04/2019||||||1
FCEQN|FCEQN-8511|00016|106|IA00241|2008|7|11/01/2019|28|2|01-3579/2019|7.3469387755102|8.04878048780488||||106||R|||11/06/2019||||||1
FCEQN|FCEQN10981|00026|117|ET00004|2014|1|07/05/2019|28|2|01-3580/2019|8.89473684210526|8.89473684210526||||54||R|||11/14/2019||||||1
FCEQN|5134|00024|901|DC00015|2012|2|11/01/2019|28|4|01-3581/2019|9.5|9.5||||87||R|||11/15/2019||||||1
FCEQN|FCEQN10913|00004|102|BI02522|2007|12|11/15/2019|28|5|01-3582/2019|7.78048780487805|8||||67||R|||11/19/2019||||||1
FCEQN|FCEQN10768|00004|102|BI02493|2007|12|11/15/2019|28|2|01-3583/2019|8|8.15384615384615||||68||R|||11/19/2019||||||1
